reading_id,trip_id,timestamp,speed_kmh,lat,lon,lidar_confidence,camera_status,objects_detected
1,T00001,2024-06-01 17:00:00.000000000,57.09443513982123,37.688450455303915,-122.34055778548425,0.89,ok,8
2,T00001,2024-06-01 17:05:49.565217000,65.86118913037276,37.61536148821386,-122.45300114449307,0.87,ok,18
3,T00001,2024-06-01 17:11:39.130435000,54.33388894876808,37.77159101818302,-122.35376853110903,0.892,ok,10
4,T00001,2024-06-01 17:17:28.695652000,63.96107638707416,37.6012514942053,-122.48762285966392,0.806,ok,8
5,T00001,2024-06-01 17:23:18.260870000,46.30454006675004,37.64435639563847,-122.4364890840261,0.943,ok,12
6,T00001,2024-06-01 17:29:07.826087000,62.45864612448494,37.71055247360672,-122.4567498943627,0.893,ok,10
7,T00001,2024-06-01 17:34:57.391304000,54.97409126125388,37.76547131096523,-122.38303227366222,0.883,ok,10
8,T00001,2024-06-01 17:40:46.956522000,61.559187595149545,37.62442230318486,-122.4777725705336,0.828,ok,7
9,T00001,2024-06-01 17:46:36.521739000,59.342613801887666,37.616404737042295,-122.49301215071881,0.869,ok,10
10,T00001,2024-06-01 17:52:26.086957000,73.72570152396554,37.79703491101814,-122.34639891293736,0.565,ok,13
11,T00001,2024-06-01 17:58:15.652174000,47.9726487809786,37.68592457277937,-122.44421238478532,0.565,ok,8
12,T00001,2024-06-01 18:04:05.217391000,60.89431563752588,37.720493966140694,-122.3976722834962,0.899,ok,19
13,T00001,2024-06-01 18:09:54.782609000,53.42835411638341,37.60108098473454,-122.49973074580869,0.805,degraded,10
14,T00001,2024-06-01 18:15:44.347826000,45.58260442028528,37.730085049764774,-122.45753320514262,0.913,ok,13
15,T00001,2024-06-01 18:21:33.913043000,58.33880943223686,37.625277284481136,-122.49443121848452,0.829,ok,14
16,T00001,2024-06-01 18:27:23.478261000,73.95181826634519,37.76110518271521,-122.4204231648886,0.928,ok,12
17,T00001,2024-06-01 18:33:13.043478000,58.17240410437981,37.62549713602805,-122.3399587304633,0.791,ok,16
18,T00001,2024-06-01 18:39:02.608696000,43.28995580579797,37.75126685391658,-122.48366654482798,0.917,ok,16
19,T00001,2024-06-01 18:44:52.173913000,52.5969843552553,37.62525422742155,-122.33731310353515,0.719,ok,13
20,T00001,2024-06-01 18:50:41.739130000,60.690925822023445,37.60272680478117,-122.43545468545467,0.627,ok,11
21,T00001,2024-06-01 18:56:31.304348000,57.412735931942485,37.62760309740401,-122.483792277907,0.797,ok,10
22,T00001,2024-06-01 19:02:20.869565000,54.63122649227365,37.77191127938359,-122.38153972578759,0.45,ok,13
23,T00001,2024-06-01 19:08:10.434783000,49.48043807297373,37.760819133926724,-122.41481245830661,0.734,ok,15
24,T00002,2024-06-01 17:48:05.771543086,69.31210393612771,37.656452494082586,-122.44038486989504,0.868,degraded,12
25,T00002,2024-06-01 17:48:19.407907086,69.01791024332539,37.60961846208241,-122.44086699214569,0.732,ok,14
26,T00002,2024-06-01 17:48:33.044270086,59.70873490185824,37.62713766355846,-122.32127294933078,0.726,degraded,12
27,T00002,2024-06-01 17:48:46.680634086,65.39235155620831,37.78482154318226,-122.3049640048049,0.674,degraded,14
28,T00002,2024-06-01 17:49:00.316998086,65.94501828998547,37.75800296831198,-122.43640348973194,0.48,ok,8
29,T00002,2024-06-01 17:49:13.953361086,55.22811483715386,37.69986058920287,-122.47873254053036,0.679,ok,13
30,T00002,2024-06-01 17:49:27.589725086,51.631214547325484,37.682992087215936,-122.35390150450354,0.734,ok,10
31,T00002,2024-06-01 17:49:41.226088086,55.46343943241083,37.73512426191965,-122.49238273988014,0.801,ok,7
32,T00002,2024-06-01 17:49:54.862452086,52.55546210861377,37.705994068204284,-122.3643216228994,0.794,ok,17
33,T00002,2024-06-01 17:50:08.498816086,57.08508459905737,37.72288000148627,-122.39526731678909,0.972,ok,10
34,T00002,2024-06-01 17:50:22.135179086,64.16630241279488,37.66461994033327,-122.30245009218017,0.532,ok,8
35,T00002,2024-06-01 17:50:35.771543086,46.76468008405551,37.723586311969264,-122.4316305429004,0.956,ok,7
36,T00002,2024-06-01 17:50:49.407907086,57.980636494332025,37.750425739908714,-122.31889223241423,0.769,ok,12
37,T00002,2024-06-01 17:51:03.044270086,48.49537324081845,37.643634865918656,-122.31292436773859,0.877,ok,8
38,T00002,2024-06-01 17:51:16.680634086,59.280505781433874,37.60420422134525,-122.33607808938685,0.88,ok,11
39,T00002,2024-06-01 17:51:30.316998086,66.7207579166636,37.60246820921208,-122.47140782447985,0.652,ok,9
40,T00002,2024-06-01 17:51:43.953361086,57.5481201119983,37.60516187857264,-122.3893418720754,0.875,ok,12
41,T00002,2024-06-01 17:51:57.589725086,56.82113159323806,37.666078294733126,-122.38215707713043,0.551,ok,14
42,T00002,2024-06-01 17:52:11.226088086,65.35993135691265,37.78561035004577,-122.48177187211107,0.951,ok,15
43,T00002,2024-06-01 17:52:24.862452086,67.02144330273337,37.60444369640512,-122.30229200259086,0.889,ok,12
44,T00002,2024-06-01 17:52:38.498816086,63.326628004944766,37.61019497540449,-122.37649417698755,0.95,ok,11
45,T00002,2024-06-01 17:52:52.135179086,67.32155805191877,37.66498455888133,-122.3625408874835,0.85,ok,13
46,T00003,2024-06-02 00:36:11.543086172,47.26734285903301,37.762093643443094,-122.44546987053751,0.577,ok,14
47,T00003,2024-06-02 00:46:46.837204172,41.48953195513529,37.713710451120924,-122.4881645856273,0.978,ok,10
48,T00003,2024-06-02 00:57:22.131321172,48.2662061392885,37.74617592466444,-122.35985489574315,0.839,ok,8
49,T00003,2024-06-02 01:07:57.425439172,28.906215119335773,37.69460550066861,-122.49133694534915,0.726,ok,12
50,T00003,2024-06-02 01:18:32.719557172,26.641075639729987,37.688107831974605,-122.43653890451591,0.681,degraded,9
51,T00003,2024-06-02 01:29:08.013674172,27.769105652113808,37.62571929719211,-122.385229880405,0.9,ok,9
52,T00003,2024-06-02 01:39:43.307792172,30.572136228715735,37.62433906134534,-122.38238127247891,0.965,ok,9
53,T00003,2024-06-02 01:50:18.601910172,30.132311633938777,37.75813822038003,-122.42305348469851,0.584,ok,8
54,T00003,2024-06-02 02:00:53.896027172,46.64396504331718,37.75453419762564,-122.35702009318175,0.802,ok,16
55,T00003,2024-06-02 02:11:29.190145172,24.962670173764455,37.66655617379216,-122.38851900713716,0.611,ok,9
56,T00003,2024-06-02 02:22:04.484262172,37.698946332933424,37.72769775695983,-122.43605136091847,0.851,ok,13
57,T00003,2024-06-02 02:32:39.778380172,31.578524785303117,37.67478942689581,-122.32274235670886,0.834,ok,21
58,T00003,2024-06-02 02:43:15.072498172,25.97311233961848,37.72640384168449,-122.35477774813108,0.81,ok,11
59,T00003,2024-06-02 02:53:50.366615172,39.771635434027246,37.76241552220174,-122.33495772574808,0.686,ok,13
60,T00003,2024-06-02 03:04:25.660733172,27.250707093065877,37.75759402671819,-122.31935037898099,0.909,ok,12
61,T00003,2024-06-02 03:15:00.954851172,35.70049738766194,37.654739691535674,-122.31763627426278,0.883,ok,9
62,T00003,2024-06-02 03:25:36.248968172,40.26436902160824,37.66120943324576,-122.4872630464995,0.785,degraded,17
63,T00004,2024-06-02 18:24:17.314629258,18.918615559078237,37.72936744578528,-122.3750040503248,0.737,ok,6
64,T00004,2024-06-02 18:24:32.314629258,21.593107308787218,37.76411042785114,-122.36467107303604,0.49,ok,18
65,T00004,2024-06-02 18:24:47.314629258,18.877759504453266,37.7411270792738,-122.31556161438975,0.765,ok,10
66,T00004,2024-06-02 18:25:02.314629258,21.609796355136062,37.66995921236152,-122.32750069851969,0.938,ok,9
67,T00004,2024-06-02 18:25:17.314629258,26.510770857047312,37.63431927341304,-122.46650805109641,0.806,ok,11
68,T00004,2024-06-02 18:25:32.314629258,23.966037936379855,37.70601249101035,-122.4064039075044,0.903,ok,7
69,T00004,2024-06-02 18:25:47.314629258,34.75768599912155,37.66231434791645,-122.33086929554453,0.924,ok,12
70,T00004,2024-06-02 18:26:02.314629258,46.185151886027896,37.65627859643443,-122.3355543774846,0.766,ok,14
71,T00004,2024-06-02 18:26:17.314629258,24.328145049550617,37.74880571606954,-122.35779980761005,0.785,ok,15
72,T00004,2024-06-02 18:26:32.314629258,26.351431930966832,37.72493279485675,-122.48376715510726,0.912,ok,15
73,T00004,2024-06-02 18:26:47.314629258,25.298489397297292,37.60753954498297,-122.3383864365768,0.956,ok,11
74,T00004,2024-06-02 18:27:02.314629258,28.848426329003857,37.65341500149127,-122.3930678153849,0.684,ok,17
